BOM ID,Member internalid,Line ID,Item source,Member Quantity,Effective Date,Obsolete Date,Units
422700,291545,3,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,200741,4,Stock , 0.03000000 ,14/08/2025,14/08/2025,Test
422700,193256,5,Stock , 0.25000000 ,14/08/2025,14/08/2025,Test
422700,211443,6,Stock , 0.00200000 ,14/08/2025,14/08/2025,Test
422700,211439,7,Stock , 0.00200000 ,14/08/2025,14/08/2025,Test
422700,116737,8,Stock , 0.00120000 ,14/08/2025,14/08/2025,Test
422700,116738,9,Stock , 0.00051077 ,14/08/2025,14/08/2025,Test
422700,116739,10,Stock , 0.00500000 ,14/08/2025,14/08/2025,Test
422700,211489,11,Stock , 0.00150000 ,14/08/2025,14/08/2025,Test
422700,291546,12,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,200741,13,Stock , 0.17142857 ,14/08/2025,14/08/2025,Test
422700,193257,14,Stock , 0.57142857 ,14/08/2025,14/08/2025,Test
422700,211443,15,Stock , 0.03428571 ,14/08/2025,14/08/2025,Test
422700,211627,16,Stock , 0.03428571 ,14/08/2025,14/08/2025,Test
422700,116737,17,Stock , 0.00685714 ,14/08/2025,14/08/2025,Test
422700,116738,18,Stock , 0.00291868 ,14/08/2025,14/08/2025,Test
422700,116739,19,Stock , 0.02857143 ,14/08/2025,14/08/2025,Test
422700,211489,20,Stock , 0.00857143 ,14/08/2025,14/08/2025,Test
422700,291547,21,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,200741,22,Stock , 0.00500000 ,14/08/2025,,Test
422700,116737,23,Stock , 0.00020000 ,14/08/2025,,Test
422700,116738,24,Stock , 0.00008513 ,14/08/2025,,Test
422700,116739,25,Stock , 0.00083333 ,14/08/2025,,Test
422700,211489,26,Stock , 0.00025000 ,14/08/2025,,Test
422700,291547,27,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,211443,28,Stock , 1.80000000 ,14/08/2025,14/08/2025,Test
422700,211439,29,Stock , 1.80000000 ,14/08/2025,14/08/2025,Test
422700,291545,30,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,194743,31,Stock , 0.00500000 ,14/08/2025,14/08/2025,Test
422700,193298,32,Stock , 0.33333333 ,14/08/2025,14/08/2025,Test
422700,211443,33,Stock , 0.00200000 ,14/08/2025,14/08/2025,Test
422700,211439,34,Stock , 0.00200000 ,14/08/2025,14/08/2025,Test
422700,116737,35,Stock , 0.00120000 ,14/08/2025,14/08/2025,Test
422700,116738,36,Stock , 0.00051077 ,14/08/2025,14/08/2025,Test
422700,116739,37,Stock , 0.00500000 ,14/08/2025,14/08/2025,Test
422700,211489,38,Stock , 0.00150000 ,14/08/2025,14/08/2025,Test
422700,291546,39,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,194743,40,Stock , 0.20000000 ,14/08/2025,14/08/2025,Test
422700,193299,41,Stock , 2.00000000 ,14/08/2025,14/08/2025,Test
422700,211443,42,Stock , 0.24000000 ,14/08/2025,14/08/2025,Test
422700,211439,43,Stock , 0.24000000 ,14/08/2025,14/08/2025,Test
422700,116737,44,Stock , 0.04800000 ,14/08/2025,14/08/2025,Test
422700,116738,45,Stock , 0.02043077 ,14/08/2025,14/08/2025,Test
422700,116739,46,Stock , 0.20000000 ,14/08/2025,14/08/2025,Test
422700,211489,47,Stock , 0.06000000 ,14/08/2025,14/08/2025,Test
422700,291547,48,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,194743,49,Stock , 0.00083333 ,14/08/2025,,Test
422700,116737,50,Stock , 0.00020000 ,14/08/2025,,Test
422700,116738,51,Stock , 0.00008513 ,14/08/2025,,Test
422700,116739,52,Stock , 0.00083333 ,14/08/2025,,Test
422700,211489,53,Stock , 0.00025000 ,14/08/2025,,Test
422700,291548,54,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,116739,55,Stock , 0.03835500 ,14/08/2025,14/08/2025,Test
422700,116738,56,Stock , 0.00510769 ,14/08/2025,14/08/2025,Test
422700,116716,57,Stock , 0.62500000 ,14/08/2025,14/08/2025,Test
422700,116737,58,Stock , 0.00972308 ,14/08/2025,14/08/2025,Test
422700,291547,59,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,211490,60,Stock , 0.00033333 ,14/08/2025,14/08/2025,Test
422700,268605,61,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422700,334104,62,Stock , 0.30000000 ,14/08/2025,14/08/2025,Test
422700,331502,63,Stock , 0.39062500 ,14/08/2025,14/08/2025,Test
422700,291545,64,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,410780,65,Stock , 0.00033333 ,14/08/2025,14/08/2025,Test
422700,153878,66,Stock , 0.00052910 ,14/08/2025,14/08/2025,Test
422700,317060,67,Stock , 0.00266667 ,14/08/2025,14/08/2025,Test
422700,351384,68,Stock , 0.00200000 ,14/08/2025,14/08/2025,Test
422700,317059,69,Stock , 0.00250000 ,14/08/2025,14/08/2025,Test
422700,211627,70,Stock , 0.00200000 ,14/08/2025,14/08/2025,Test
422700,211443,71,Stock , 0.00200000 ,14/08/2025,14/08/2025,Test
422700,291546,72,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,410780,73,Stock , 0.00142857 ,14/08/2025,14/08/2025,Test
422700,383882,74,Stock , 0.26785714 ,14/08/2025,14/08/2025,Test
422700,153878,75,Stock , 0.00226757 ,14/08/2025,14/08/2025,Test
422700,317060,76,Stock , 0.01142857 ,14/08/2025,14/08/2025,Test
422700,351384,77,Stock , 0.00857143 ,14/08/2025,14/08/2025,Test
422700,317059,78,Stock , 0.01071429 ,14/08/2025,14/08/2025,Test
422700,211627,79,Stock , 0.00857143 ,14/08/2025,14/08/2025,Test
422700,211443,80,Stock , 0.00857143 ,14/08/2025,14/08/2025,Test
422700,291547,81,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,410780,82,Stock , 0.00016667 ,14/08/2025,,Test
422700,153878,83,Stock , 0.00026455 ,14/08/2025,,Test
422700,317060,84,Stock , 0.00133333 ,14/08/2025,,Test
422700,351384,85,Stock , 0.00100000 ,14/08/2025,,Test
422700,317059,86,Stock , 0.00125000 ,14/08/2025,,Test
422700,291548,87,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,351384,88,Stock , 0.03000000 ,14/08/2025,14/08/2025,Test
422700,317059,89,Stock , 0.03750000 ,14/08/2025,14/08/2025,Test
422700,154461,90,Stock , 0.00600000 ,14/08/2025,14/08/2025,Test
422700,291548,91,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422700,351384,92,Stock , 0.00100000 ,14/08/2025,14/08/2025,Test
